Type,Name,Description,Test Case Key,Test Plan Key
US,Gestion de Marcas,COMO usuario QUIERO gestionar marcas PARA poder registrar y agrupar  productos con una marca específica,,TP-01
AC,,"DADO que el usuario ha iniciado sesión Y ha ingresado a la vista de ""Inicio"" CUANDO haga clic en el enlace ""Marcas"" desde el menú de navegación ENTONCES la aplicación mostrará el listado de marcas",TC-01,
AC,,"DADO que el usuario ha iniciado sesión Y ha ingresado a la vista de Registro de marca Y ha ingresado los campos requeridos CUANDO haga clic en ""Guardar"" ENTONCES la aplicación lo redireccionará al listado de marcas Y mostrará un mensaje ""Operación: La marca <nombre de la marca> ha sido registrada satisfactoriamente""",TC-02,
US,Gestión de Categorías,COMO usuario QUIERO gestionar categorías PARA poder registrar y agrupar productos con una categoría específica,,TP-01
AC,,"DADO que el usuario ha iniciado sesión Y ha ingresado a la vista de ""Inicio"" CUANDO haga clic en el enlace ""Categorías"" desde el menú de navegación ENTONCES la aplicación mostrará el listado de categorías",TC-03,
AC,,"DADO que el usuario ha iniciado sesión Y ha ingresado a la vista de Registro de categoría Y ha ingresado los campos requeridos CUANDO haga clic en ""Guardar"" ENTONCES la aplicación lo redireccionará al listado de categorías Y mostrará un mensaje ""Operación: La categoría <nombre de la categoría> ha sido registrada satisfactoriamente""",TC-04,
US,Inicio de sesión,COMO usuario QUIERO iniciar sesión en la aplicación PARA poder acceder a la gestión del catálogo de productos,,TP-01
AC,,"DADO que el usuario ha ingresado a la vista ""Ingresar"" Y ha ingresado los campos requeridos (Correo electrónico y contraseña) CUANDO haga clic en ""Ingresar"" ENTONCES la aplicación lo redireccionará a la vista de ""Inicio"" Y mostrará el correo electrónico de la cuenta en la parte superior derecha de la pantalla",TC-05,
US,Registro de usuario,COMO usuario QUIERO registrarme en la aplicación PARA poder acceder a la gestión del catálogo de productos,,TP-01
AC,,"DADO que el usuario ha ingresado a la vista ""Registrarse"" Y ha ingresado los campos requeridos (Correo electrónico, contraseña y confirmación de contraseña) CUANDO haga clic en ""Registrar"" ENTONCES la aplicación lo redireccionará a la vista de ""Inicio"" Y mostrará el correo electrónico de la cuenta en la parte superior derecha de la pantalla",,
AC,,"DADO que el usuario ha ingresado a la vista ""Registrarse"" Y ha ingresado un correo electrónico Y ha ingresado una contraseña Y ha ingresado en el campo ""Confirmar contraseña"" un valor distinto a la contraseña CUANDO haga clic en ""Registrar"" ENTONCES la aplicación mostrará un mensaje de error ""La contraseña y la contraseña de confirmación no coinciden.""",,
